date,borough,count
2012-05-01,Staten Island,7305
2012-05-01,UNSPECIFIED,10
2012-06-01,Bronx,24805
2012-06-01,Brooklyn,41572
2012-06-01,Manhattan,25114
2012-06-01,Queens,32189
2012-06-01,Staten Island,7383
2012-06-01,UNSPECIFIED,12
2012-07-01,Bronx,26507
2012-07-01,Brooklyn,43829
2012-07-01,Manhattan,23975
2012-07-01,Queens,33704
2012-07-01,Staten Island,7574
2012-07-01,UNSPECIFIED,18
2012-08-01,Bronx,24050
2012-08-01,Brooklyn,43087
2012-08-01,Manhattan,24365
2012-08-01,Queens,33859
2012-08-01,Staten Island,7564
2012-08-01,UNSPECIFIED,11
2012-09-01,Bronx,21526
2012-09-01,Brooklyn,40906
2012-09-01,Manhattan,23662
2012-09-01,Queens,31662
2012-09-01,Staten Island,6722
2012-09-01,UNSPECIFIED,12
2012-10-01,Bronx,24410
2012-10-01,Brooklyn,43654
2012-10-01,Manhattan,27048
2012-10-01,Queens,35664
2012-10-01,Staten Island,7535
2012-10-01,UNSPECIFIED,9
2012-11-01,Bronx,30780
2012-11-01,Brooklyn,49445
2012-11-01,Manhattan,28219
2012-11-01,Queens,40283
2012-11-01,Staten Island,7993
2012-11-01,UNSPECIFIED,10
2012-12-01,Bronx,28728
2012-12-01,Brooklyn,45342
2012-12-01,Manhattan,29317
2012-12-01,Queens,30541
2012-12-01,Staten Island,6106
2012-12-01,UNSPECIFIED,2
2013-01-01,Bronx,35008
2013-01-01,Brooklyn,52337
2013-01-01,Manhattan,32950
2013-01-01,Queens,33347
2013-01-01,Staten Island,7396
2013-01-01,UNSPECIFIED,8
2013-02-01,Bronx,24400
2013-02-01,Brooklyn,36274
2013-02-01,Manhattan,24603
2013-02-01,Queens,24986
2013-02-01,Staten Island,5533
2013-02-01,UNSPECIFIED,4
2013-03-01,Bronx,27078
2013-03-01,Brooklyn,44126
2013-03-01,Manhattan,29341
2013-03-01,Queens,28681
2013-03-01,Staten Island,6741
2013-03-01,UNSPECIFIED,17
2013-04-01,Bronx,23463
2013-04-01,Brooklyn,41922
2013-04-01,Manhattan,27697
2013-04-01,Queens,29084
2013-04-01,Staten Island,7332
2013-04-01,UNSPECIFIED,14
2013-05-01,Bronx,22958
2013-05-01,Brooklyn,45061
2013-05-01,Manhattan,28900
2013-05-01,Queens,32048
2013-05-01,Staten Island,7768
2013-05-01,UNSPECIFIED,33
2013-06-01,Bronx,24120
2013-06-01,Brooklyn,45265
2013-06-01,Manhattan,26710
2013-06-01,Queens,32623
2013-06-01,Staten Island,8141
2013-06-01,UNSPECIFIED,26
2013-07-01,Bronx,27861
2013-07-01,Brooklyn,44215
2013-07-01,Manhattan,26339
2013-07-01,Queens,32760
2013-07-01,Staten Island,7768
2013-07-01,UNSPECIFIED,17
2013-08-01,Bronx,22427
2013-08-01,Brooklyn,41957
2013-08-01,Manhattan,25359
2013-08-01,Queens,30314
2013-08-01,Staten Island,6972
2013-08-01,UNSPECIFIED,32
2013-09-01,Bronx,20791
2013-09-01,Brooklyn,38809
2013-09-01,Manhattan,25817
2013-09-01,Queens,29320
2013-09-01,Staten Island,6519
