date,borough,count
2021-12-01,UNSPECIFIED,27
2022-01-01,Bronx,61933
2022-01-01,Brooklyn,83824
2022-01-01,Manhattan,57691
2022-01-01,Queens,60898
2022-01-01,Staten Island,11863
2022-01-01,UNSPECIFIED,17
2022-02-01,Bronx,58502
2022-02-01,Brooklyn,70469
2022-02-01,Manhattan,46658
2022-02-01,Queens,53272
2022-02-01,Staten Island,10689
2022-02-01,UNSPECIFIED,18
2022-03-01,Bronx,54307
2022-03-01,Brooklyn,72995
2022-03-01,Manhattan,50623
2022-03-01,Queens,57919
2022-03-01,Staten Island,11011
2022-03-01,UNSPECIFIED,20
2022-04-01,Bronx,49610
2022-04-01,Brooklyn,68048
2022-04-01,Manhattan,49888
2022-04-01,Queens,54017
2022-04-01,Staten Island,9952
2022-04-01,UNSPECIFIED,16
2022-05-01,Bronx,69230
2022-05-01,Brooklyn,76904
2022-05-01,Manhattan,53095
2022-05-01,Queens,61503
2022-05-01,Staten Island,11030
2022-05-01,UNSPECIFIED,12
2022-06-01,Bronx,57695
2022-06-01,Brooklyn,79600
2022-06-01,Manhattan,53931
2022-06-01,Queens,63852
2022-06-01,Staten Island,11968
2022-06-01,UNSPECIFIED,25
2022-07-01,Bronx,87556
2022-07-01,Brooklyn,75005
2022-07-01,Manhattan,52201
2022-07-01,Queens,63770
2022-07-01,Staten Island,11485
2022-07-01,UNSPECIFIED,23
2022-08-01,Bronx,63482
2022-08-01,Brooklyn,75106
2022-08-01,Manhattan,52287
2022-08-01,Queens,62138
2022-08-01,Staten Island,11350
2022-08-01,UNSPECIFIED,42
2022-09-01,Bronx,65998
2022-09-01,Brooklyn,78010
2022-09-01,Manhattan,52971
2022-09-01,Queens,60575
2022-09-01,Staten Island,10369
2022-09-01,UNSPECIFIED,24
2022-10-01,Bronx,50327
2022-10-01,Brooklyn,80887
2022-10-01,Manhattan,60168
2022-10-01,Queens,60224
2022-10-01,Staten Island,11714
2022-10-01,UNSPECIFIED,29
2022-11-01,Bronx,50042
2022-11-01,Brooklyn,74141
2022-11-01,Manhattan,53582
2022-11-01,Queens,55809
2022-11-01,Staten Island,9697
2022-11-01,UNSPECIFIED,28
2022-12-01,Bronx,58151
2022-12-01,Brooklyn,78479
2022-12-01,Manhattan,51817
2022-12-01,Queens,58240
2022-12-01,Staten Island,10243
2022-12-01,UNSPECIFIED,210
2023-01-01,Bronx,51299
2023-01-01,Brooklyn,73561
2023-01-01,Manhattan,48180
2023-01-01,Queens,54159
2023-01-01,Staten Island,10290
2023-01-01,UNSPECIFIED,322
2023-02-01,Bronx,48849
2023-02-01,Brooklyn,68297
2023-02-01,Manhattan,46103
2023-02-01,Queens,49197
2023-02-01,Staten Island,8737
2023-02-01,UNSPECIFIED,23
2023-03-01,Bronx,49206
2023-03-01,Brooklyn,77726
2023-03-01,Manhattan,52113
2023-03-01,Queens,57939
2023-03-01,Staten Island,10345
2023-03-01,UNSPECIFIED,34
2023-04-01,Bronx,45591
2023-04-01,Brooklyn,74339
2023-04-01,Manhattan,54611
2023-04-01,Queens,59283
2023-04-01,Staten Island,9650
2023-04-01,UNSPECIFIED,108
2023-05-01,Bronx,50773
2023-05-01,Brooklyn,85218
2023-05-01,Manhattan,60264
2023-05-01,Queens,68621
2023-05-01,Staten Island,11384
2023-05-01,UNSPECIFIED,168
2023-06-01,Bronx,47720
2023-06-01,Brooklyn,81290
2023-06-01,Manhattan,54810
2023-06-01,Queens,67304
2023-06-01,Staten Island,11683
2023-06-01,UNSPECIFIED,33
2023-07-01,Bronx,58243
2023-07-01,Brooklyn,85661
2023-07-01,Manhattan,55891
2023-07-01,Queens,72948
2023-07-01,Staten Island,12165
2023-07-01,UNSPECIFIED,16
2023-08-01,Bronx,53516
2023-08-01,Brooklyn,84713
2023-08-01,Manhattan,57753
2023-08-01,Queens,70766
2023-08-01,Staten Island,11939
2023-08-01,UNSPECIFIED,20
2023-09-01,Bronx,49711
2023-09-01,Brooklyn,90032
2023-09-01,Manhattan,57787
2023-09-01,Queens,68392
2023-09-01,Staten Island,11217
2023-09-01,UNSPECIFIED,1934
2023-10-01,Bronx,56233
2023-10-01,Brooklyn,96521
2023-10-01,Manhattan,67038
2023-10-01,Queens,67996
2023-10-01,Staten Island,11165
2023-10-01,UNSPECIFIED,51
2023-11-01,Bronx,56641
2023-11-01,Brooklyn,86808
2023-11-01,Manhattan,62750
2023-11-01,Queens,62143
2023-11-01,Staten Island,8484
2023-11-01,UNSPECIFIED,14
2023-12-01,Bronx,53910
2023-12-01,Brooklyn,84430
2023-12-01,Manhattan,59984
2023-12-01,Queens,61934
2023-12-01,Staten Island,8381
2023-12-01,UNSPECIFIED,14
2024-01-01,Bronx,60977
2024-01-01,Brooklyn,90207
2024-01-01,Manhattan,58799
2024-01-01,Queens,64063
2024-01-01,Staten Island,9189
2024-01-01,UNSPECIFIED,10
2024-02-01,Bronx,48953
2024-02-01,Brooklyn,73406
2024-02-01,Manhattan,49503
2024-02-01,Queens,56541
2024-02-01,Staten Island,7820
2024-02-01,UNSPECIFIED,21
2024-03-01,Bronx,51326
2024-03-01,Brooklyn,80494
2024-03-01,Manhattan,55422
2024-03-01,Queens,64403
2024-03-01,Staten Island,9232
2024-03-01,UNSPECIFIED,23
2024-04-01,Bronx,51397
2024-04-01,Brooklyn,79126
2024-04-01,Manhattan,58968
2024-04-01,Queens,63382
2024-04-01,Staten Island,8950
2024-04-01,UNSPECIFIED,13
2024-05-01,Bronx,50720
2024-05-01,Brooklyn,87720
2024-05-01,Manhattan,62162
2024-05-01,Queens,68480
2024-05-01,Staten Island,9806
2024-05-01,UNSPECIFIED,24
2024-06-01,Bronx,58637
2024-06-01,Brooklyn,92823
2024-06-01,Manhattan,60383
2024-06-01,Queens,77628
2024-06-01,Staten Island,11644
2024-06-01,UNSPECIFIED,16
2024-07-01,Bronx,62744
2024-07-01,Brooklyn,87824
2024-07-01,Manhattan,59405
2024-07-01,Queens,72636
2024-07-01,Staten Island,11618
2024-07-01,UNSPECIFIED,32
2024-08-01,Bronx,57649
2024-08-01,Brooklyn,84396
2024-08-01,Manhattan,57228
2024-08-01,Queens,70530
2024-08-01,Staten Island,10662
2024-08-01,UNSPECIFIED,21
2024-09-01,Bronx,68813
2024-09-01,Brooklyn,90411
2024-09-01,Manhattan,63038
2024-09-01,Queens,70265
2024-09-01,Staten Island,10201
2024-09-01,UNSPECIFIED,22
2024-10-01,Bronx,64281
2024-10-01,Brooklyn,90096
2024-10-01,Manhattan,67047
2024-10-01,Queens,71453
2024-10-01,Staten Island,10483
2024-10-01,UNSPECIFIED,27
2024-11-01,Bronx,68716
2024-11-01,Brooklyn,87399
2024-11-01,Manhattan,60847
2024-11-01,Queens,64322
2024-11-01,Staten Island,9466
2024-11-01,UNSPECIFIED,12
2024-12-01,Bronx,86952
2024-12-01,Brooklyn,88754
2024-12-01,Manhattan,61801
2024-12-01,Queens,64483
2024-12-01,Staten Island,8821
2024-12-01,UNSPECIFIED,17
