year,total_requests,median_response_hours
2010,1792794,96.0
2011,1719888,73.255
2012,1599084,72.0
2013,1626265,72.0
2014,1919624,51.266666666666666
2015,2087662,48.0
2016,2193273,28.942500000000003
2017,2296660,26.75
2018,2557447,35.75
2019,2494807,27.286944444444444
2020,2863681,7.566666666666666
2021,3149204,12.25
2022,3119265,6.579722222222222
2023,3176430,7.029166666666667
2024,3404741,6.181666666666667
