year,zip,borough,lat,lng,median_response_hours,count
2010,10119,Manhattan,40.753048,-73.98986,125.49166666666666,12
2010,10121,Manhattan,40.75066,-73.99194,0.0,1
2010,10123,Manhattan,40.75136,-73.99036,51.13333333333333,1
2010,10128,Manhattan,40.78178,-73.95108,70.38416666666667,5494
2010,10128,UNSPECIFIED,40.78123,-73.95085,168.0,1738
2010,10129,Manhattan,40.78789,-73.95533,90.98333333333333,1
2010,10153,Manhattan,40.76402,-73.97319,80.32680555555557,4
2010,10162,Manhattan,40.769962,-73.95114,115.51666666666667,19
2010,10168,Manhattan,40.7516,-73.97645,24.0,1
2010,10172,Manhattan,40.7553,-73.97534,0.08333333333333333,1
2010,10178,Manhattan,40.75104,-73.97844,0.05,1
2010,10279,Manhattan,40.71226,-74.00789,97.60833333333333,2
2010,10280,Manhattan,40.70892,-74.0167,90.34694444444445,310
2010,10280,UNSPECIFIED,40.710148,-74.01632,228.0,22
2010,10281,Manhattan,40.71205,-74.01568,99.27583333333334,54
2010,10282,Manhattan,40.716434,-74.01513,130.0413888888889,253
2010,10282,UNSPECIFIED,40.716686,-74.01549,636.0,10
2010,10301,Staten Island,40.632645,-74.09108,25.75,7485
2010,10301,UNSPECIFIED,40.63869,-74.08657,144.0,2584
2010,10302,Staten Island,40.631298,-74.13708,24.0,3742
2010,10302,UNSPECIFIED,40.63478,-74.13678,168.0,1537
2010,10303,Staten Island,40.63117,-74.15912,24.0,4076
2010,10303,UNSPECIFIED,40.634464,-74.16148,192.0,1295
2010,10304,Staten Island,40.61269,-74.087524,25.283333333333335,6855
2010,10304,UNSPECIFIED,40.618263,-74.0829,168.0,2526
2010,10305,Staten Island,40.598095,-74.0761,24.934166666666666,7123
2010,10305,UNSPECIFIED,40.60147,-74.06972,168.0,547
2010,10306,Staten Island,40.56966,-74.1158,29.616666666666667,10761
2010,10306,UNSPECIFIED,40.567066,-74.11306,144.0,795
2010,10307,Staten Island,40.50874,-74.242836,34.214444444444446,2441
2010,10307,UNSPECIFIED,40.510956,-74.246346,168.0,129
2010,10308,Staten Island,40.551613,-74.15048,36.97680555555556,4738
2010,10308,UNSPECIFIED,40.549263,-74.15047,192.0,234
2010,10309,Staten Island,40.532486,-74.21425,36.516666666666666,5506
2010,10309,UNSPECIFIED,40.52891,-74.21023,144.0,205
2010,10310,Staten Island,40.6328,-74.11667,23.65833333333333,4758
2010,10310,UNSPECIFIED,40.634342,-74.11954,168.0,1351
2010,10312,Staten Island,40.545555,-74.17853,32.05,10272
2010,10312,UNSPECIFIED,40.55028,-74.18083,144.0,244
2010,10314,Staten Island,40.60348,-74.14915,26.643472222222222,13227
